Year,mth,d,Twilight,Sunrise,Transit,Shadow 1,Shadow 2,Sunset,Twilight
2019,2,15,05 26,07 15,12 15,14 45,15 25,17 15,19 04
2019,2,16,05 24,07 13,12 15,14 47,15 27,17 17,19 06
2019,2,17,05 23,07 11,12 15,14 48,15 29,17 19,19 08
2019,2,18,05 21,07 09,12 15,14 50,15 31,17 21,19 09
2019,2,19,05 19,07 07,12 14,14 51,15 32,17 22,19 11
2019,2,20,05 17,07 05,12 14,14 52,15 34,17 24,19 13
2019,2,21,05 15,07 03,12 14,14 54,15 35,17 26,19 14
2019,2,22,05 13,07 01,12 14,14 55,15 37,17 28,19 16
2019,2,23,05 11,06 59,12 14,14 56,15 39,17 30,19 18
2019,2,24,05 09,06 57,12 14,14 58,15 40,17 31,19 19
2019,2,25,05 07,06 55,12 14,14 59,15 42,17 33,19 21
2019,2,26,05 05,06 53,12 14,15 00,15 43,17 35,19 23
2019,2,27,05 03,06 51,12 13,15 02,15 45,17 37,19 25
2019,2,28,05 01,06 49,12 13,15 03,15 47,17 39,19 26
2019,3,1,04 59,06 47,12 13,15 04,15 48,17 40,19 28
2019,3,2,04 57,06 44,12 13,15 05,15 50,17 42,19 30
2019,3,3,04 55,06 42,12 13,15 07,15 51,17 44,19 32
2019,3,4,04 53,06 40,12 12,15 08,15 53,17 46,19 34
2019,3,5,04 50,06 38,12 12,15 09,15 54,17 47,19 35
2019,3,6,04 48,06 36,12 12,15 10,15 56,17 49,19 37
2019,3,7,04 46,06 34,12 12,15 11,15 57,17 51,19 39
2019,3,8,04 44,06 31,12 12,15 13,15 59,17 53,19 41
2019,3,9,04 41,06 29,12 11,15 14,16 00,17 54,19 43
2019,3,10,04 39,06 27,12 11,15 15,16 02,17 56,19 44
2019,3,11,04 37,06 25,12 11,15 16,16 03,17 58,19 46
2019,3,12,04 34,06 22,12 10,15 17,16 05,18 00,19 48
2019,3,13,04 32,06 20,12 10,15 18,16 06,18 01,19 50
2019,3,14,04 29,06 18,12 10,15 19,16 07,18 03,19 52
2019,3,15,04 27,06 16,12 10,15 21,16 09,18 05,19 54
2019,3,16,04 24,06 13,12 09,15 22,16 10,18 06,19 56
2019,3,17,04 22,06 11,12 09,15 23,16 12,18 08,19 58
2019,3,18,04 19,06 09,12 09,15 24,16 13,18 10,20 00
2019,3,19,04 17,06 07,12 09,15 25,16 14,18 11,20 02
2019,3,20,04 14,06 04,12 08,15 26,16 16,18 13,20 03
2019,3,21,04 12,06 02,12 08,15 27,16 17,18 15,20 05
2019,3,22,04 09,06 00,12 08,15 28,16 18,18 17,20 07
2019,3,23,04 07,05 57,12 07,15 29,16 20,18 18,20 09
2019,3,24,04 04,05 55,12 07,15 30,16 21,18 20,20 11
2019,3,25,04 01,05 53,12 07,15 31,16 22,18 22,20 14
2019,3,26,03 59,05 51,12 06,15 32,16 24,18 23,20 16
2019,3,27,03 56,05 48,12 06,15 33,16 25,18 25,20 18
2019,3,28,03 53,05 46,12 06,15 34,16 26,18 27,20 20
2019,3,29,03 51,05 44,12 06,15 35,16 27,18 28,20 22
2019,3,30,03 48,05 41,12 05,15 36,16 29,18 30,20 24
2019,3,31,04 45,06 39,13 05,16 36,17 30,19 32,21 26
2019,4,1,04 43,06 37,13 05,16 37,17 31,19 33,21 28
2019,4,2,04 40,06 35,13 04,16 38,17 32,19 35,21 31
2019,4,3,04 37,06 32,13 04,16 39,17 34,19 37,21 33
2019,4,4,04 34,06 30,13 04,16 40,17 35,19 38,21 35
2019,4,5,04 31,06 28,13 03,16 41,17 36,19 40,21 37
2019,4,6,04 29,06 26,13 03,16 42,17 37,19 42,21 40
2019,4,7,04 26,06 23,13 03,16 43,17 38,19 43,21 42
2019,4,8,04 23,06 21,13 03,16 43,17 40,19 45,21 44
2019,4,9,04 20,06 19,13 02,16 44,17 41,19 47,21 47
2019,4,10,04 17,06 17,13 02,16 45,17 42,19 48,21 49
2019,4,11,04 14,06 15,13 02,16 46,17 43,19 50,21 52
2019,4,12,04 11,06 12,13 02,16 47,17 44,19 52,21 54
2019,4,13,04 08,06 10,13 01,16 47,17 45,19 53,21 56
2019,4,14,04 05,06 08,13 01,16 48,17 46,19 55,21 59
2019,4,15,04 02,06 06,13 01,16 49,17 48,19 57,22 02
2019,4,16,03 59,06 04,13 01,16 50,17 49,19 58,22 04
2019,4,17,03 56,06 02,13 00,16 51,17 50,20 00,22 07
2019,4,18,03 53,05 59,13 00,16 51,17 51,20 02,22 09
2019,4,19,03 50,05 57,13 00,16 52,17 52,20 03,22 12
2019,4,20,03 47,05 55,13 00,16 53,17 53,20 05,22 15
2019,4,21,03 44,05 53,12 59,16 54,17 54,20 07,22 17
2019,4,22,03 41,05 51,12 59,16 54,17 55,20 08,22 20
2019,4,23,03 37,05 49,12 59,16 55,17 56,20 10,22 23
2019,4,24,03 34,05 47,12 59,16 56,17 57,20 12,22 26
2019,4,25,03 31,05 45,12 59,16 56,17 58,20 13,22 29
2019,4,26,03 28,05 43,12 59,16 57,18 00,20 15,22 32
2019,4,27,03 24,05 41,12 58,16 58,18 01,20 17,22 35
2019,4,28,03 21,05 39,12 58,16 58,18 02,20 18,22 38
2019,4,29,03 18,05 37,12 58,16 59,18 03,20 20,22 41
2019,4,30,03 14,05 35,12 58,17 00,18 04,20 22,22 44
2019,5,1,03 11,05 33,12 58,17 01,18 05,20 23,22 47
2019,5,2,03 08,05 31,12 58,17 01,18 06,20 25,22 50
2019,5,3,03 04,05 30,12 58,17 02,18 07,20 27,22 54
2019,5,4,03 01,05 28,12 57,17 03,18 08,20 28,22 57
2019,5,5,02 57,05 26,12 57,17 03,18 09,20 30,23 00
2019,5,6,02 54,05 24,12 57,17 04,18 10,20 32,23 04
2019,5,7,02 50,05 22,12 57,17 04,18 11,20 33,23 07
2019,5,8,02 46,05 21,12 57,17 05,18 12,20 35,23 11
2019,5,9,02 43,05 19,12 57,17 06,18 12,20 36,23 15
2019,5,10,02 39,05 17,12 57,17 06,18 13,20 38,23 19
2019,5,11,02 35,05 16,12 57,17 07,18 14,20 39,23 22
2019,5,12,02 31,05 14,12 57,17 08,18 15,20 41,23 26
2019,5,13,02 27,05 13,12 57,17 08,18 16,20 43,23 31
2019,5,14,02 23,05 11,12 57,17 09,18 17,20 44,23 35
2019,5,15,02 19,05 09,12 57,17 09,18 18,20 46,23 39
2019,5,16,02 14,05 08,12 57,17 10,18 19,20 47,23 44
2019,5,17,02 10,05 07,12 57,17 11,18 20,20 49,23 48
2019,5,18,02 05,05 05,12 57,17 11,18 21,20 50,23 53
2019,5,19,02 00,05 04,12 57,17 12,18 21,20 51,23 59
2019,5,20,01 55,05 02,12 57,17 12,18 22,20 53,24 04
2019,5,21,01 50,05 01,12 57,17 13,18 23,20 54,24 11
2019,5,22,01 43,05 00,12 57,17 13,18 24,20 56,24 18
2019,5,23,01 37,04 59,12 57,17 14,18 25,20 57,24 26
2019,5,24,01 29,04 57,12 57,17 14,18 25,20 58,24 36
2019,5,25,01 18,04 56,12 58,17 15,18 26,21 00,** **
2019,5,26,** **,04 55,12 58,17 15,18 27,21 01,** **
2019,5,27,** **,04 54,12 58,17 16,18 28,21 02,** **
2019,5,28,** **,04 53,12 58,17 16,18 28,21 03,** **
2019,5,29,** **,04 52,12 58,17 17,18 29,21 05,** **
2019,5,30,** **,04 51,12 58,17 17,18 30,21 06,** **
2019,5,31,** **,04 50,12 58,17 18,18 31,21 07,** **
2019,6,1,** **,04 50,12 58,17 18,18 31,21 08,** **
2019,6,2,** **,04 49,12 59,17 19,18 32,21 09,** **
2019,6,3,** **,04 48,12 59,17 19,18 33,21 10,** **
2019,6,4,** **,04 47,12 59,17 20,18 33,21 11,** **
2019,6,5,** **,04 47,12 59,17 20,18 34,21 12,** **
2019,6,6,** **,04 46,12 59,17 21,18 34,21 13,** **
2019,6,7,** **,04 46,12 59,17 21,18 35,21 14,** **
2019,6,8,** **,04 45,13 00,17 21,18 35,21 15,** **
2019,6,9,** **,04 45,13 00,17 22,18 36,21 16,** **
2019,6,10,** **,04 44,13 00,17 22,18 36,21 16,** **
2019,6,11,** **,04 44,13 00,17 22,18 37,21 17,** **
2019,6,12,** **,04 44,13 00,17 23,18 37,21 18,** **
2019,6,13,** **,04 43,13 01,17 23,18 38,21 18,** **
2019,6,14,** **,04 43,13 01,17 23,18 38,21 19,** **
2019,6,15,** **,04 43,13 01,17 24,18 38,21 19,** **
2019,6,16,** **,04 43,13 01,17 24,18 39,21 20,** **
2019,6,17,** **,04 43,13 02,17 24,18 39,21 20,** **
2019,6,18,** **,04 43,13 02,17 25,18 39,21 21,** **
2019,6,19,** **,04 43,13 02,17 25,18 40,21 21,** **
2019,6,20,** **,04 43,13 02,17 25,18 40,21 21,** **
2019,6,21,** **,04 43,13 02,17 25,18 40,21 22,** **
2019,6,22,** **,04 43,13 03,17 26,18 40,21 22,** **
2019,6,23,** **,04 44,13 03,17 26,18 41,21 22,** **
2019,6,24,** **,04 44,13 03,17 26,18 41,21 22,** **
2019,6,25,** **,04 44,13 03,17 26,18 41,21 22,** **
2019,6,26,** **,04 45,13 03,17 26,18 41,21 22,** **
2019,6,27,** **,04 45,13 04,17 26,18 41,21 22,** **
2019,6,28,** **,04 46,13 04,17 26,18 41,21 22,** **
2019,6,29,** **,04 46,13 04,17 27,18 41,21 22,** **
2019,6,30,** **,04 47,13 04,17 27,18 41,21 21,** **
2019,7,1,** **,04 48,13 04,17 27,18 41,21 21,** **
2019,7,2,** **,04 48,13 05,17 27,18 41,21 21,** **
2019,7,3,** **,04 49,13 05,17 27,18 41,21 20,** **
2019,7,4,** **,04 50,13 05,17 27,18 41,21 20,** **
2019,7,5,** **,04 51,13 05,17 27,18 40,21 19,** **
2019,7,6,** **,04 51,13 05,17 27,18 40,21 19,** **
2019,7,7,** **,04 52,13 06,17 26,18 40,21 18,** **
2019,7,8,** **,04 53,13 06,17 26,18 40,21 18,** **
2019,7,9,** **,04 54,13 06,17 26,18 40,21 17,** **
2019,7,10,** **,04 55,13 06,17 26,18 39,21 16,** **
2019,7,11,** **,04 56,13 06,17 26,18 39,21 15,** **
2019,7,12,** **,04 57,13 06,17 26,18 38,21 15,** **
2019,7,13,** **,04 58,13 06,17 26,18 38,21 14,** **
2019,7,14,** **,05 00,13 07,17 25,18 38,21 13,** **
2019,7,15,** **,05 01,13 07,17 25,18 37,21 12,** **
2019,7,16,** **,05 02,13 07,17 25,18 37,21 11,** **
2019,7,17,** **,05 03,13 07,17 24,18 36,21 10,** **
2019,7,18,** **,05 04,13 07,17 24,18 35,21 09,24 53
2019,7,19,01 22,05 06,13 07,17 24,18 35,21 08,24 40
2019,7,20,01 35,05 07,13 07,17 23,18 34,21 06,24 31
2019,7,21,01 44,05 08,13 07,17 23,18 34,21 05,24 24
2019,7,22,01 51,05 10,13 07,17 23,18 33,21 04,24 17
2019,7,23,01 57,05 11,13 07,17 22,18 32,21 03,24 12
2019,7,24,02 03,05 12,13 07,17 22,18 31,21 01,24 06
2019,7,25,02 08,05 14,13 07,17 21,18 31,21 00,24 01
2019,7,26,02 13,05 15,13 07,17 21,18 30,20 58,23 57
2019,7,27,02 18,05 16,13 07,17 20,18 29,20 57,23 52
2019,7,28,02 23,05 18,13 07,17 19,18 28,20 55,23 48
2019,7,29,02 27,05 19,13 07,17 19,18 27,20 54,23 43
2019,7,30,02 31,05 21,13 07,17 18,18 26,20 52,23 39
2019,7,31,02 36,05 22,13 07,17 17,18 25,20 51,23 35
2019,8,1,02 40,05 24,13 07,17 17,18 24,20 49,23 31
2019,8,2,02 43,05 25,13 07,17 16,18 23,20 48,23 27
2019,8,3,02 47,05 27,13 07,17 15,18 22,20 46,23 23
2019,8,4,02 51,05 28,13 07,17 15,18 21,20 44,23 20
2019,8,5,02 54,05 30,13 07,17 14,18 20,20 42,23 16
2019,8,6,02 58,05 31,13 07,17 13,18 19,20 41,23 12
2019,8,7,03 01,05 33,13 06,17 12,18 18,20 39,23 09
2019,8,8,03 05,05 35,13 06,17 11,18 17,20 37,23 05
2019,8,9,03 08,05 36,13 06,17 10,18 15,20 35,23 02
2019,8,10,03 11,05 38,13 06,17 10,18 14,20 33,22 58
2019,8,11,03 14,05 39,13 06,17 09,18 13,20 32,22 55
2019,8,12,03 18,05 41,13 06,17 08,18 12,20 30,22 51
2019,8,13,03 21,05 42,13 06,17 07,18 10,20 28,22 48
2019,8,14,03 24,05 44,13 05,17 06,18 09,20 26,22 45
2019,8,15,03 27,05 46,13 05,17 05,18 08,20 24,22 41
2019,8,16,03 30,05 47,13 05,17 04,18 06,20 22,22 38
2019,8,17,03 32,05 49,13 05,17 03,18 05,20 20,22 35
2019,8,18,03 35,05 50,13 05,17 01,18 03,20 18,22 31
2019,8,19,03 38,05 52,13 04,17 00,18 02,20 16,22 28
2019,8,20,03 41,05 53,13 04,16 59,18 00,20 14,22 25
2019,8,21,03 44,05 55,13 04,16 58,17 59,20 12,22 22
2019,8,22,03 46,05 57,13 04,16 57,17 57,20 09,22 19
2019,8,23,03 49,05 58,13 03,16 56,17 56,20 07,22 16
2019,8,24,03 52,06 00,13 03,16 55,17 54,20 05,22 12
2019,8,25,03 54,06 01,13 03,16 53,17 53,20 03,22 09
2019,8,26,03 57,06 03,13 03,16 52,17 51,20 01,22 06
2019,8,27,03 59,06 05,13 02,16 51,17 49,19 59,22 03
2019,8,28,04 02,06 06,13 02,16 49,17 48,19 57,22 00
2019,8,29,04 04,06 08,13 02,16 48,17 46,19 54,21 57
2019,8,30,04 07,06 09,13 01,16 47,17 45,19 52,21 54
2019,8,31,04 09,06 11,13 01,16 45,17 43,19 50,21 51
2019,9,1,04 11,06 13,13 01,16 44,17 41,19 48,21 48
2019,9,2,04 14,06 14,13 00,16 43,17 39,19 46,21 45
2019,9,3,04 16,06 16,13 00,16 41,17 38,19 43,21 42
2019,9,4,04 18,06 17,13 00,16 40,17 36,19 41,21 39
2019,9,5,04 20,06 19,12 59,16 38,17 34,19 39,21 37
2019,9,6,04 23,06 21,12 59,16 37,17 32,19 37,21 34
2019,9,7,04 25,06 22,12 59,16 36,17 31,19 34,21 31
2019,9,8,04 27,06 24,12 58,16 34,17 29,19 32,21 28
2019,9,9,04 29,06 25,12 58,16 33,17 27,19 30,21 25
2019,9,10,04 31,06 27,12 58,16 31,17 25,19 27,21 22
2019,9,11,04 33,06 29,12 57,16 29,17 23,19 25,21 20
2019,9,12,04 36,06 30,12 57,16 28,17 21,19 23,21 17
2019,9,13,04 38,06 32,12 57,16 26,17 19,19 21,21 14
2019,9,14,04 40,06 33,12 56,16 25,17 18,19 18,21 11
2019,9,15,04 42,06 35,12 56,16 23,17 16,19 16,21 09
2019,9,16,04 44,06 36,12 56,16 22,17 14,19 14,21 06
2019,9,17,04 46,06 38,12 55,16 20,17 12,19 11,21 03
2019,9,18,04 48,06 40,12 55,16 19,17 10,19 09,21 00
2019,9,19,04 50,06 41,12 55,16 17,17 08,19 07,20 58
2019,9,20,04 52,06 43,12 54,16 15,17 06,19 04,20 55
2019,9,21,04 54,06 44,12 54,16 14,17 04,19 02,20 53
2019,9,22,04 55,06 46,12 53,16 12,17 02,19 00,20 50
2019,9,23,04 57,06 48,12 53,16 10,17 00,18 58,20 47
2019,9,24,04 59,06 49,12 53,16 09,16 58,18 55,20 45
2019,9,25,05 01,06 51,12 52,16 07,16 56,18 53,20 42
2019,9,26,05 03,06 52,12 52,16 05,16 54,18 51,20 40
2019,9,27,05 05,06 54,12 52,16 04,16 52,18 48,20 37
2019,9,28,05 07,06 56,12 51,16 02,16 50,18 46,20 35
2019,9,29,05 08,06 57,12 51,16 00,16 48,18 44,20 32
2019,9,30,05 10,06 59,12 51,15 59,16 46,18 41,20 30
2019,10,1,05 12,07 01,12 50,15 57,16 44,18 39,20 27
2019,10,2,05 14,07 02,12 50,15 55,16 42,18 37,20 25
2019,10,3,05 16,07 04,12 50,15 54,16 40,18 35,20 23
2019,10,4,05 17,07 06,12 49,15 52,16 38,18 32,20 20
2019,10,5,05 19,07 07,12 49,15 50,16 36,18 30,20 18
2019,10,6,05 21,07 09,12 49,15 48,16 34,18 28,20 16
2019,10,7,05 23,07 11,12 49,15 47,16 32,18 26,20 13
2019,10,8,05 24,07 12,12 48,15 45,16 30,18 23,20 11
2019,10,9,05 26,07 14,12 48,15 43,16 28,18 21,20 09
2019,10,10,05 28,07 16,12 48,15 42,16 26,18 19,20 07
2019,10,11,05 29,07 17,12 47,15 40,16 24,18 17,20 04
2019,10,12,05 31,07 19,12 47,15 38,16 22,18 15,20 02
2019,10,13,05 33,07 21,12 47,15 37,16 21,18 12,20 00
2019,10,14,05 34,07 22,12 47,15 35,16 19,18 10,19 58
2019,10,15,05 36,07 24,12 46,15 33,16 17,18 08,19 56
2019,10,16,05 38,07 26,12 46,15 32,16 15,18 06,19 54
2019,10,17,05 39,07 27,12 46,15 30,16 13,18 04,19 52
2019,10,18,05 41,07 29,12 46,15 28,16 11,18 02,19 50
2019,10,19,05 43,07 31,12 46,15 27,16 09,18 00,19 48
2019,10,20,05 44,07 32,12 45,15 25,16 07,17 58,19 46
2019,10,21,05 46,07 34,12 45,15 24,16 05,17 56,19 44
2019,10,22,05 47,07 36,12 45,15 22,16 03,17 54,19 42
2019,10,23,05 49,07 38,12 45,15 20,16 01,17 52,19 40
2019,10,24,05 51,07 39,12 45,15 19,16 00,17 50,19 38
2019,10,25,05 52,07 41,12 45,15 17,15 58,17 48,19 36
2019,10,26,05 54,07 43,12 45,15 16,15 56,17 46,19 34
2019,10,27,04 55,06 45,11 45,14 14,14 54,16 44,18 33
2019,10,28,04 57,06 46,11 44,14 13,14 52,16 42,18 31
2019,10,29,04 59,06 48,11 44,14 11,14 51,16 40,18 29
2019,10,30,05 00,06 50,11 44,14 10,14 49,16 38,18 27
2019,10,31,05 02,06 52,11 44,14 08,14 47,16 36,18 26
2019,11,1,05 03,06 53,11 44,14 07,14 45,16 34,18 24
2019,11,2,05 05,06 55,11 44,14 05,14 44,16 32,18 23
2019,11,3,05 06,06 57,11 44,14 04,14 42,16 31,18 21
2019,11,4,05 08,06 59,11 44,14 03,14 40,16 29,18 20
2019,11,5,05 09,07 01,11 44,14 01,14 39,16 27,18 18
2019,11,6,05 11,07 02,11 44,14 00,14 37,16 26,18 17
2019,11,7,05 13,07 04,11 44,13 59,14 36,16 24,18 15
2019,11,8,05 14,07 06,11 44,13 57,14 34,16 22,18 14
2019,11,9,05 16,07 08,11 44,13 56,14 33,16 21,18 13
2019,11,10,05 17,07 09,11 45,13 55,14 31,16 19,18 11
2019,11,11,05 18,07 11,11 45,13 54,14 30,16 18,18 10
2019,11,12,05 20,07 13,11 45,13 53,14 28,16 16,18 09
2019,11,13,05 21,07 15,11 45,13 52,14 27,16 15,18 08
2019,11,14,05 23,07 16,11 45,13 50,14 26,16 13,18 06
2019,11,15,05 24,07 18,11 45,13 49,14 24,16 12,18 05
2019,11,16,05 26,07 20,11 45,13 48,14 23,16 10,18 04
2019,11,17,05 27,07 21,11 46,13 47,14 22,16 09,18 03
2019,11,18,05 29,07 23,11 46,13 46,14 21,16 08,18 02
2019,11,19,05 30,07 25,11 46,13 46,14 20,16 07,18 01
2019,11,20,05 31,07 26,11 46,13 45,14 18,16 05,18 00
2019,11,21,05 33,07 28,11 46,13 44,14 17,16 04,18 00
2019,11,22,05 34,07 30,11 47,13 43,14 16,16 03,17 59
2019,11,23,05 35,07 31,11 47,13 42,14 15,16 02,17 58
2019,11,24,05 37,07 33,11 47,13 41,14 14,16 01,17 57
2019,11,25,05 38,07 34,11 48,13 41,14 14,16 00,17 57
2019,11,26,05 39,07 36,11 48,13 40,14 13,15 59,17 56
2019,11,27,05 40,07 38,11 48,13 40,14 12,15 58,17 55
2019,11,28,05 42,07 39,11 48,13 39,14 11,15 58,17 55
2019,11,29,05 43,07 41,11 49,13 38,14 10,15 57,17 54
2019,11,30,05 44,07 42,11 49,13 38,14 10,15 56,17 54
2019,12,1,05 45,07 43,11 50,13 38,14 09,15 55,17 53
2019,12,2,05 46,07 45,11 50,13 37,14 09,15 55,17 53
2019,12,3,05 47,07 46,11 50,13 37,14 08,15 54,17 53
2019,12,4,05 49,07 47,11 51,13 37,14 08,15 54,17 52
2019,12,5,05 50,07 49,11 51,13 36,14 07,15 53,17 52
2019,12,6,05 51,07 50,11 52,13 36,14 07,15 53,17 52
2019,12,7,05 52,07 51,11 52,13 36,14 07,15 52,17 52
2019,12,8,05 53,07 52,11 52,13 36,14 06,15 52,17 52
2019,12,9,05 54,07 54,11 53,13 36,14 06,15 52,17 52
2019,12,10,05 55,07 55,11 53,13 36,14 06,15 52,17 52
2019,12,11,05 56,07 56,11 54,13 36,14 06,15 52,17 52
2019,12,12,05 56,07 57,11 54,13 36,14 06,15 52,17 52
2019,12,13,05 57,07 58,11 55,13 36,14 06,15 52,17 52
2019,12,14,05 58,07 59,11 55,13 36,14 06,15 52,17 52
2019,12,15,05 59,07 59,11 56,13 36,14 06,15 52,17 52
2019,12,16,06 00,08 00,11 56,13 36,14 06,15 52,17 53
2019,12,17,06 00,08 01,11 57,13 37,14 07,15 52,17 53
2019,12,18,06 01,08 02,11 57,13 37,14 07,15 52,17 53
2019,12,19,06 02,08 02,11 58,13 37,14 07,15 53,17 54
2019,12,20,06 02,08 03,11 58,13 38,14 08,15 53,17 54
2019,12,21,06 03,08 04,11 59,13 38,14 08,15 53,17 54
2019,12,22,06 03,08 04,11 59,13 39,14 08,15 54,17 55
2019,12,23,06 04,08 05,12 00,13 39,14 09,15 54,17 55
2019,12,24,06 04,08 05,12 00,13 40,14 10,15 55,17 56
2019,12,25,06 04,08 05,12 01,13 40,14 10,15 56,17 57
2019,12,26,06 05,08 06,12 01,13 41,14 11,15 56,17 57
2019,12,27,06 05,08 06,12 02,13 42,14 12,15 57,17 58
2019,12,28,06 05,08 06,12 02,13 43,14 13,15 58,17 59
2019,12,29,06 06,08 06,12 03,13 43,14 13,15 59,18 00
2019,12,30,06 06,08 06,12 03,13 44,14 14,16 00,18 00
2019,12,31,06 06,08 06,12 03,13 45,14 15,16 01,18 01
